,Month,region,count
0,七月,east,50
1,七月,north,24
2,七月,southeast,28
3,七月,southwest,9
4,七月,west,5
5,三月,east,66
6,三月,north,17
7,三月,southeast,23
8,三月,southwest,9
9,九月,east,69
10,九月,north,17
11,九月,southeast,35
12,九月,southwest,10
13,九月,west,11
14,二月,east,73
15,二月,north,21
16,二月,southeast,14
17,二月,southwest,7
18,二月,west,2
19,五月,east,52
20,五月,north,18
21,五月,southeast,32
22,五月,southwest,8
23,五月,west,4
24,八月,east,88
25,八月,north,19
26,八月,southeast,42
27,八月,southwest,12
28,八月,west,3
29,六月,east,58
30,六月,north,20
31,六月,southeast,23
32,六月,southwest,11
33,六月,west,2
34,十一月,east,87
35,十一月,north,32
36,十一月,southeast,18
37,十一月,southwest,7
38,十一月,west,7
39,十二月,east,115
40,十二月,north,44
41,十二月,southeast,16
42,十二月,southwest,10
43,十二月,west,7
44,十月,east,86
45,十月,north,34
46,十月,southeast,19
47,十月,southwest,13
48,十月,west,14
49,四月,east,84
50,四月,north,23
51,四月,southeast,23
52,四月,southwest,8
53,四月,west,3
54,正月,east,93
55,正月,north,46
56,正月,southeast,18
57,正月,southwest,19
58,正月,west,9
