,Country,Emperor Order,Reign Years,latitude,longitude,
0,占城,6.222222222222220,17.0,11.573354803365300,108.989694658207,9
1,哈密,6.0,18.4,42.874295510192500,93.5372163770975,5
2,安南,8.923076923076920,21.615384615384600,21.035847086272000,105.807735494038,13
3,日本,3.8,24.0,35.011635,135.76803600000000,5
4,暹罗,6.0,20.666666666666700,14.3641159208915,100.54450528592500,3
5,朝鲜,8.225806451612900,19.419354838709700,37.56653600000000,126.97796600000000,31
6,朵颜,6.666666666666670,12.666666666666700,42.933333000000000,119.03333300000000,3
7,泰宁,6.833333333333330,12.833333333333300,40.6148021238958,120.73624094568600,6
8,满剌加,9.0,24.0,2.23018316928585,102.221540775854,2
9,灌顶,5.0,18.0,29.2254613510501,91.761971148597,3
10,爪哇,5.0,16.0,-7.54201175682804,112.39099375247500,8
11,琉球,6.285714285714290,24.5,26.216836199186900,127.71569862273800,14
12,瓦剌,4.75,17.5,49.194047139056000,89.07698218688,4
13,福余,7.5,19.5,44.988990412186200,126.046840877544,2
14,苏门答剌,5.0,11.0,3.5954501750549700,98.68334582235740,1
15,阿鲁,6.0,15.0,3.70951208149303,98.60043710224320,1
16,鞑靼,3.0,23.0,47.210278,102.847778,2
17,高丽,4.5,19.5,37.9598590805264,126.613429551569,2
